day,hour,lon,lat,accuracy,age,event,clientId,playerId,gameId,year
14811,11.321607,0.0,0.0,0.0,0,gamep,"354957032350129","P542","GA516",1993
14811,11.328339,0.0,0.0,0.0,0,gamep,"354957032350129","P542","GA516",1994
14811,11.3361,0.0,0.0,0.0,0,gamep,"354957032350129","P542","GA516",1995
14811,11.344609,0.0,0.0,0.0,0,gamep,"354957032350129","P542","GA516",1996
14811,11.353159,0.0,0.0,0.0,0,gamep,"354957032350129","P542","GA516",1997
14811,11.358906,0.0,0.0,0.0,0,gamep,"354957032350129","P542","GA516",1998
14811,11.367339,0.0,0.0,0.0,0,gamep,"354957032350129","P542","GA516",1999
14811,11.37589,0.0,0.0,0.0,0,gamep,"354957032350129","P542","GA516",2000
14811,11.384444,0.0,0.0,0.0,0,gamep,"354957032350129","P542","GA516",2001
14811,11.392642,0.0,0.0,0.0,0,gamep,"354957032350129","P542","GA516",2002
14811,11.40192,-1.1828434467315674,52.95116186141968,6.0,0,gamep,"354957032350129","P542","GA516",2003
14811,11.419578,-1.182730793952942,52.95130133628845,6.0,0,gamep,"354957032350129","P542","GA516",2004
14811,11.419578,-1.182730793952942,52.95130133628845,6.0,0,gamep,"354957032350129","P542","GA516",2005
14811,11.428076,-1.1826825141906738,52.951446175575256,3.0,0,gamep,"354957032350129","P542","GA516",2006
14811,11.437876,-1.1827147006988525,52.951499819755554,3.0,0,gamep,"354957032350129","P542","GA516",2007
14811,11.446767,-1.1825323104858398,52.95129060745239,2.0,0,gamep,"354957032350129","P542","GA516",2008
14811,11.452685,-1.182478666305542,52.95115113258362,3.0,0,gamep,"354957032350129","P542","GA516",2009
14811,11.461497,-1.1824089288711548,52.95112431049347,3.0,0,gamep,"354957032350129","P542","GA516",2010
14811,11.467995,-1.1824733018875122,52.95115113258362,2.0,0,gamep,"354957032350129","P542","GA516",2011
14811,11.479797,-1.1827683448791504,52.95130133628845,2.0,1,gamep,"354957032350129","P542","GA516",2012
14811,11.485544,-1.1829131841659546,52.95138716697693,2.0,0,gamep,"354957032350129","P542","GA516",2013
14811,11.492217,-1.1829829216003418,52.95143008232117,2.0,0,gamep,"354957032350129","P542","GA516",2014
14811,11.504813,-1.1826449632644653,52.951478362083435,2.0,0,gamep,"354957032350129","P542","GA516",2015
14811,11.511807,-1.1826395988464355,52.95140862464905,2.0,0,gamep,"354957032350129","P542","GA516",2016
14811,11.522842,-1.182628870010376,52.95130670070648,3.0,1,gamep,"354957032350129","P542","GA516",2017
14811,11.539301,-1.1827683448791504,52.95115649700165,2.0,0,gamep,"354957032350129","P542","GA516",2018
14811,11.539301,-1.1827683448791504,52.95115649700165,2.0,0,gamep,"354957032350129","P542","GA516",2019
14811,11.547634,-1.1827737092971802,52.95115649700165,6.0,0,gamep,"354957032350129","P542","GA516",2020
14811,11.571205,-1.1827737092971802,52.95115649700165,6.0,1,gamep,"354957032350129","P544","GA517",NA
14811,11.5829935,-1.1828166246414185,52.95116186141968,2.0,0,gamep,"354957032350129","P544","GA517",NA
14811,11.590001,-1.1828166246414185,52.95116186141968,24.0,0,gamep,"354957032350129","P544","GA517",1901
14811,11.624865,-1.1828166246414185,52.95116186141968,48.0,4,gamep,"354957032350129","P544","GA517",1902
14811,11.624865,-1.1828166246414185,52.95116186141968,48.0,4,gamep,"354957032350129","P544","GA517",1903
14811,11.624865,-1.1828166246414185,52.95116186141968,48.0,4,gamep,"354957032350129","P544","GA517",1904
14811,11.624865,-1.1828166246414185,52.95116186141968,48.0,4,gamep,"354957032350129","P544","GA517",1905
14811,11.652926,-1.182854175567627,52.95112431049347,3.0,0,gamep,"354957032350129","P544","GA517",1906
14811,11.652926,-1.182854175567627,52.95112431049347,3.0,0,gamep,"354957032350129","P544","GA517",1907
14811,11.652926,-1.182854175567627,52.95112431049347,3.0,0,gamep,"354957032350129","P544","GA517",1908
14811,11.654376,-1.1828595399856567,52.95111894607544,3.0,0,gamep,"354957032350129","P544","GA517",1909
14811,11.662919,-1.1828595399856567,52.95112431049347,4.0,0,gamep,"354957032350129","P544","GA517",1910
14811,11.676406,-1.1828595399856567,52.95112431049347,3.0,0,gamep,"354957032350129","P544","GA517",1911
14811,11.682333,-1.1828434467315674,52.95112431049347,3.0,0,gamep,"354957032350129","P544","GA517",1912
14811,11.691693,-1.1828434467315674,52.95112431049347,3.0,0,gamep,"354957032350129","P544","GA517",1913
14811,11.715997,-1.1828058958053589,52.95112431049347,4.0,0,gamep,"354957032350129","P544","GA517",1914
14811,11.715997,-1.1828058958053589,52.95112431049347,4.0,0,gamep,"354957032350129","P544","GA517",1915
14811,11.7188,-1.1828058958053589,52.95112431049347,3.0,0,gamep,"354957032350129","P544","GA517",1916
14811,11.722094,-1.1827951669692993,52.95112431049347,3.0,0,gamep,"354957032350129","P544","GA517",1917
14811,11.731291,-1.1828219890594482,52.95110821723938,16.0,7,gamep,"354957032350129","P544","GA517",1918
14811,11.759082,-1.1828219890594482,52.95110821723938,16.0,107,gamep,"354957032350129","P544","GA517",1919
14811,11.759082,-1.1828219890594482,52.95110821723938,16.0,107,gamep,"354957032350129","P544","GA517",1920
14811,11.760638,-1.1828219890594482,52.95110821723938,16.0,113,gamep,"354957032350129","P544","GA517",1921
14811,11.765028,-1.1828219890594482,52.95110821723938,16.0,128,gamep,"354957032350129","P544","GA517",1922
14811,11.76985,-1.1828219890594482,52.95110821723938,16.0,146,gamep,"354957032350129","P544","GA517",1923
14811,11.777655,-1.1828219890594482,52.95110821723938,16.0,174,gamep,"354957032350129","P544","GA517",1924
14811,11.786453,-1.1828219890594482,52.95110821723938,16.0,206,gamep,"354957032350129","P544","GA517",1925
14811,11.795666,-1.1828219890594482,52.95110821723938,16.0,239,gamep,"354957032350129","P544","GA517",1926
14811,11.803892,-1.1828219890594482,52.95110821723938,16.0,268,gamep,"354957032350129","P544","GA517",1927
14811,11.812387,-1.1828219890594482,52.95110821723938,16.0,299,gamep,"354957032350129","P544","GA517",1928
