day,hour,gametime,zone,lon,lat,age,r,dist,event,playerId,gameId,messageId,type,year,title,description,titleLength,descriptionLength,content,viewMins
14814,10.754388809204102,6.26335,The Barracks,0.06699085235595703,51.48965299129486,0,71,0,message,P570,GA522,MSG42373,timeline_content_global,1907,"Women in your community join the London Suffragette Pageant","Many of your community across Woolwich join the 66,000 women making a procession through London. Some of your community joins the campaign. Identifiable by their purple, white and green colour scheme, the suffragettes are becoming a familiar sight in London, fighting for Votes For Women! Their health, knowledge and participation increase by 2 points.",59,352,regional,0.4373166666666667
14814,10.800848007202148,9.05085,The Barracks,0.06669580936431885,51.48889124393463,0,111,0,message,P570,GA522,MSG42447,timeline_content_global,1917,"Casualties caused by night raids","In Woolwich Common many casualties occur, killing and injuring local people during night raids on the Arsenal and Royal Military Academy. Communities in the area should consider moving away from the military targets. They lose 1 health point.",32,242,local,0.21213333333333334
14814,10.893745422363281,14.624716666666666,The Town Centre,0.06707131862640381,51.48990511894226,0,77,0,message,P570,GA522,MSG42514,timeline_content_global,1923,"Midsummer Night's Dream performed at the Nursery School","The munitions worker's nursery is performing Midsummer's Night Dream, many of your community go along to watch their children perform, it is a celebration of community and people are amazed at how good the performance is.  All your community gains 1 health, knowledge and participation point.",55,292,local,0.35273333333333334
14814,10.943351745605469,17.60115,The Town Centre,0.06653487682342529,51.49044692516327,0,145,0,message,P570,GA522,MSG42575,timeline_content_global,1935,"Lipman dies","Maxs family are devasted by the news that the elder brother Lipman dies.  Many of Lipmans and Maxs children remain in Woolwich but the elder generation has now gone.  Your community loses 1 health point and gains 2 participation points",11,235,family,0.23298333333333332
14814,10.94848918914795,17.909333333333333,The Town Centre,0.06654024124145508,51.4904522895813,0,145,0,message,P570,GA522,MSG42575,timeline_content_global,1935,"Lipman dies","Maxs family are devasted by the news that the elder brother Lipman dies.  Many of Lipmans and Maxs children remain in Woolwich but the elder generation has now gone.  Your community loses 1 health point and gains 2 participation points",11,235,family,0.5388333333333334
14814,10.98544979095459,20.127,The Town Centre,0.06608963012695312,51.49069905281067,0,187,0,message,P570,GA522,MSG42575,timeline_content_global,1935,"Lipman dies","Maxs family are devasted by the news that the elder brother Lipman dies.  Many of Lipmans and Maxs children remain in Woolwich but the elder generation has now gone.  Your community loses 1 health point and gains 2 participation points",11,235,family,0.03553333333333333
14814,11.013862609863281,21.831716666666665,The Town Centre,0.06589114665985107,51.490800976753235,0,204,0,message,P570,GA522,MSG42575,timeline_content_global,1935,"Lipman dies","Maxs family are devasted by the news that the elder brother Lipman dies.  Many of Lipmans and Maxs children remain in Woolwich but the elder generation has now gone.  Your community loses 1 health point and gains 2 participation points",11,235,family,0.025483333333333334
14814,11.069995880126953,25.199733333333334,The Town Centre,0.06717860698699951,51.49035573005676,0,110,0,message,P570,GA522,MSG42575,timeline_content_global,1935,"Lipman dies","Maxs family are devasted by the news that the elder brother Lipman dies.  Many of Lipmans and Maxs children remain in Woolwich but the elder generation has now gone.  Your community loses 1 health point and gains 2 participation points",11,235,family,0.03468333333333333
14814,11.302220344543457,39.13323333333334,Plumstead,0.06804764270782471,51.48960471153259,0,12,0,message,P570,GA522,MSG42772,timeline_content_global,1977,"It is the Queens Jubilee!","People all over Woolwich celebrate the Queens Jubilee with street parties, many people receive commeration mugs that sit on their mantlepeice for years to come.  Your community gains 2 health and participation points.",25,217,regional,0.22028333333333333
14814,11.340531349182129,41.4319,Woolwich Common,0.06783843040466309,51.489266753196716,0,27,0,message,P570,GA522,MSG42772,timeline_content_global,1977,"It is the Queens Jubilee!","People all over Woolwich celebrate the Queens Jubilee with street parties, many people receive commeration mugs that sit on their mantlepeice for years to come.  Your community gains 2 health and participation points.",25,217,regional,0.24341666666666667
14814,11.354682922363281,42.28098333333333,Woolwich Common,0.06864845752716064,51.489084362983704,0,64,0,message,P570,GA522,MSG42794,timeline_content_global,1984,"North Woolwich Old Station Museum opens","The North Woolwich Old Station Museum opens in the old train station building, dedicated to the history of the Great Eastern Railway.  Your community's knowledge and participation increase by 1 point.",39,200,local,0.25175
14814,11.406326293945312,45.37963333333333,Plumstead,0.0696784257888794,51.488016843795776,0,202,0,message,P570,GA522,MSG42794,timeline_content_global,1984,"North Woolwich Old Station Museum opens","The North Woolwich Old Station Museum opens in the old train station building, dedicated to the history of the Great Eastern Railway.  Your community's knowledge and participation increase by 1 point.",39,200,local,0.38703333333333334
14814,11.512389183044434,51.74336666666667,Woolwich Common,0.06733953952789307,51.48871958255768,0,97,0,message,P570,GA522,MSG42827,timeline_content_global,1993,"The Woolwich DLR station is built","All your communities will benefit from the Woolwich DLR being built in the heart of Woolwich connecting the area to the rest of London.  Your community increase health, wealth and participation by 2 points.",33,206,local,0.23873333333333333
14814,12.117635726928711,2.85815,Plumstead,0.06805300712585449,51.489497423172,0,4,0,message,P576,GA523,MSG42981,timeline_content_global,1905,"The Artillery Theatre is finally rebuilt","The artillery theatre has finally been rebuilt, it is now very popular for across all your communities.  Some of your community get jobs at the Theatre for your community who are not already employed at the Royal Artillery or the Arsenal. Their wealth, knowledge and participation increase by 2 points.",40,302,local,0.1534
14814,12.16703987121582,5.822383333333334,Plumstead,0.067940354347229,51.489583253860474,0,9,0,message,P576,GA523,MSG43013,timeline_content_global,1908,"A foot tunnel is built under the Thames","Across Woolwich people are exctied as due to much crowding on the ferries, a foot tunnel is being built under the Thames for your community that work on the other side of the river to walk through. This will provide more job opportunies for communities all over Woolwich. All communities health, wealth and participation increase by 2 points.",39,342,local,0.28075
14814,12.348133087158203,16.688016666666666,The Town Centre,0.06580531597137451,51.49211525917053,1,327,0,message,P576,GA523,MSG43408,timeline_content_global,1932,"A record number of bicycles are sold in Woolwich","Blacketts on General Gordon Square sells bicycles to apprentices and workers at the Artillery and Arsenal. Cyclists should beware of the tramlines on the busy streets, rumours are that one cyclist got so stuck he had to follow the tramlines all the way back to the depot. All your community gains 2 health points.",48,313,local,0.1633
14814,12.407073020935059,20.224433333333334,The Town Centre,0.06672799587249756,51.492769718170166,0,373,0,message,P576,GA523,MSG43466,timeline_content_global,1940,"Road Signs are removed across Woolwich","All over Woolwich road signs have been removed and anybody asking directions is automatically suspect. Tales of spies and German parachutists dressed up in nun's clothes abound and young children play spies and track people as street games.  All community members lose 1 participation and knowledge point.",38,305,regional,0.09355
14814,12.422350883483887,21.14105,The Town Centre,0.0670766830444336,51.49260342121124,0,350,0,message,P576,GA523,MSG43482,timeline_content_global,1941,"The Blitz causes families to hide","A night in the Anderson Shelter becomes nearly a nightly occurence, where huddled together community members sit, drinking condensed milk, gossiping and on a good night with a round of bacon sandwiches. Take care your are losing many members of your community in the blitz. All community lose 1 health point and gain 2 participation points.",33,340,regional,0.15281666666666666
14814,12.432144165039062,21.72865,The Town Centre,0.06758630275726318,51.49220645427704,0,302,0,message,P576,GA523,MSG43506,timeline_content_global,1942,"Life at war in Woolwich","Across Woolwich there are no streetlights. Pavement edges have been painted white so people can see where they are going. All windows are blacked out. Sugar, butter and meat is strictly rationed to four ounces per person per week. Everyone is issued with ration books, identity cards and gas masks. All communities lose 2 wealth points.",23,336,regional,0.24595
14814,12.456131935119629,23.167916666666667,The Town Centre,0.06789207458496094,51.49212062358856,0,291,0,message,P576,GA523,MSG43557,timeline_content_global,1946,"The cinema becomes increasingly popular","Across Woolwich most people never miss Saturday mornings at the cinema.  The program normally starts with a Dsiney cartoon, an interest film, a feature film and then a serial.  All the MGM musicals were shown.  Al your community gain 2 health, knowledge and participation points.",39,279,regional,0.11743333333333333
14814,12.467268943786621,23.836166666666667,The Town Centre,0.06738781929016113,51.49237811565399,0,322,0,message,P576,GA523,MSG43565,timeline_content_global,1946,"Unexploded bombs dug up","Across Woolwich  many unexploded bombs are dug up to prevent more casualties. Some members of the community have to leave their homes.  All communities lose 1 health and wealth point as a result.",23,195,regional,0.06496666666666667
14814,12.551300048828125,28.878033333333335,The Town Centre,0.0661325454711914,51.49067223072052,0,182,0,message,P576,GA523,MSG43677,timeline_content_global,1955,"Going to Plumstead Baths","Across Woolwich many community members use the Public Baths with a rolled up towel and a bar of  soap. The attendant stands at the door while the water and says controls the water flow.  Take care the water isn't too hot!  All community members gain 2 health and participation points.",24,284,local,0.08031666666666666
14814,12.573468208312988,30.208083333333335,The Town Centre,0.0661003589630127,51.49072587490082,0,188,0,message,P576,GA523,MSG43677,timeline_content_global,1955,"Going to Plumstead Baths","Across Woolwich many community members use the Public Baths with a rolled up towel and a bar of  soap. The attendant stands at the door while the water and says controls the water flow.  Take care the water isn't too hot!  All community members gain 2 health and participation points.",24,284,local,0.021383333333333334
