day,hour,gametime,zone,lon,lat,age,r,dist,event,playerId,gameId,messageId,type,year,title
14811,11.419648170471191,685.1788833333334,,-1.182730793952942,52.95130133628845,0,183390,0,"newMessage","P542","GA516","MSG7773","timeline_content",2004,"Communities need more support"
14811,11.42357349395752,685.4143666666666,,-1.1826986074447632,52.95138716697693,0,183397,0,"newMessage","P542","GA516","MSG7787","timeline_content",2005,"The Media potrays local communities as scroungers"
14811,11.428112983703613,685.6868166666667,[common],-1.1826825141906738,52.951446175575256,1,183402,0,"newMessage","P542","GA516","MSG7791","timeline_content",2005,"Powis Street becomes a bustling shopping street again"
14811,11.437905311584473,686.2743333333333,[common],-1.1827147006988525,52.951499819755554,0,183409,0,"newMessage","P542","GA516","MSG7809","timeline_content",2006,"Children of Men filmed in Woolwich"
14811,11.446797370910645,686.8078666666667,[common],-1.1825323104858398,52.95129060745239,0,183382,0,"newMessage","P542","GA516","MSG7817","timeline_content",2007,"Increasing community activities"
14811,11.449812889099121,686.9888333333333,[common],-1.1825215816497803,52.951204776763916,0,183374,0,"newMessage","P542","GA516","MSG7835","timeline_content",2008,"Local people use the ferry to get to the airport"
14811,11.45269775390625,687.1619,[common],-1.182478666305542,52.95115113258362,0,183367,0,"newMessage","P542","GA516","MSG7841","timeline_content",2009,"Woolwich Arsenal DLR Station Opens"
14811,11.457525253295898,687.4515333333334,[common],-1.1823928356170654,52.95112431049347,0,183362,0,"newMessage","P542","GA516","MSG7847","timeline_content",2009,"Flats and houses available at the Arsenal"
14811,11.46804141998291,688.0824666666666,[common],-1.1824733018875122,52.95115113258362,0,183367,0,"newMessage","P542","GA516","MSG7859","timeline_content",2010,"Your community have survived 120 years"
14811,11.69174861907959,701.50495,,-1.1828434467315674,52.95112431049347,0,183376,0,"newMessage","P544","GA517","MSG7903","timeline_content",1912,"Velvel moves house"
14811,11.716039657592773,702.9623833333334,,-1.1828058958053589,52.95112431049347,0,183375,0,"newMessage","P544","GA517","MSG7921","timeline_content",1914,"The Arsenal increases employment"
14811,11.718841552734375,703.1304833333334,,-1.1828058958053589,52.95112431049347,0,183375,0,"newMessage","P544","GA517","MSG7947","timeline_content",1916,"Hard Times"
14811,11.722101211547852,703.3260666666666,,-1.1827951669692993,52.95112431049347,0,183374,0,"newMessage","P544","GA517","MSG7961","timeline_content",1917,"860 cadets killed in the war"
14811,11.727776527404785,703.6666,,-1.1828219890594482,52.95110821723938,0,183374,0,"newMessage","P544","GA517","MSG7967","timeline_content",1917,"Spanish Influenza worldwide epidemic effects health of all communities"
14811,11.73135757446289,703.8814666666667,,-1.1828219890594482,52.95110821723938,7,183374,0,"newMessage","P544","GA517","MSG7985","timeline_content",1918,"Casualties caused by night raids on the Arsenal and Royal Military Academy"
14811,11.759288787841797,705.5573666666667,,-1.1828219890594482,52.95110821723938,108,183374,0,"newMessage","P544","GA517","MSG8010","timeline_content",1919,"Woolwich Polytechnic Reformed"
14811,11.760648727416992,705.6389333333333,,-1.1828219890594482,52.95110821723938,113,183374,0,"newMessage","P544","GA517","MSG8064","timeline_content",1921,"Young girls often miss school effecting knowledge and participation"
14811,11.765036582946777,705.9022166666666,,-1.1828219890594482,52.95110821723938,128,183374,0,"newMessage","P544","GA517","MSG8072","timeline_content",1922,"Two new ferrys are built improving health, wealth and participation for everyone"
14811,11.773582458496094,706.4149166666666,,-1.1828219890594482,52.95110821723938,159,183374,0,"newMessage","P544","GA517","MSG8082","timeline_content",1923,"Midsummer Night's Dream performed at the Nursery School increases knowledge and participation in the community"
14811,11.800825119018555,708.0495333333333,,-1.1828219890594482,52.95110821723938,257,183374,0,"newMessage","P544","GA517","MSG8086","timeline_content",1926,"The General Strike lasts 10 days"
14811,11.808453559875488,708.5071833333334,,-1.1828219890594482,52.95110821723938,285,183374,0,"newMessage","P544","GA517","MSG8096","timeline_content",1927,"Prince Charles visits Beresford Square Market improving wealth and participation"
14811,11.817789077758789,709.0673166666667,,-1.1828219890594482,52.95110821723938,318,183374,0,"newMessage","P544","GA517","MSG8110","timeline_content",1928,"King George V visits the Barracks increasing participation"
14811,11.822038650512695,709.32235,,-1.1828219890594482,52.95110821723938,334,183374,0,"newMessage","P544","GA517","MSG8116","timeline_content",1929,"The First Searchlight Tattoo takes Place effecting peoples participation"
14811,11.825431823730469,709.5259166666667,,-1.1828219890594482,52.95110821723938,346,183374,0,"newMessage","P544","GA517","MSG8128","timeline_content",1929,"One O'clock gun sounds every day"
14811,11.829736709594727,709.7842,,-1.1828219890594482,52.95110821723938,361,183374,0,"newMessage","P544","GA517","MSG8134","timeline_content",1930,"The Great Depression Begins effecting communities health, wealth, knowledge and participation"
14811,11.833802223205566,710.02815,,-1.1828219890594482,52.95110821723938,376,183374,0,"newMessage","P544","GA517","MSG8136","timeline_content",1930,"The Great Depression Begins"
14811,11.838347434997559,710.3008833333333,,-1.1828219890594482,52.95110821723938,392,183374,0,"newMessage","P544","GA517","MSG8138","timeline_content",1931,"Ferry carrying 20,000 passengers improves wealth and participation"
14811,11.846920013427734,710.8152333333334,,-1.1828219890594482,52.95110821723938,423,183374,0,"newMessage","P544","GA517","MSG8148","timeline_content",1932,"Blacketts sells record number of bicycles increasing health and wealth"
14811,11.864958763122559,711.8975333333333,,-1.1828219890594482,52.95110821723938,488,183374,0,"newMessage","P544","GA517","MSG8150","timeline_content",1934,"Empire Day improves participation"
14811,11.883871078491211,713.03225,,-1.1828219890594482,52.95110821723938,556,183374,0,"newMessage","P544","GA517","MSG8160","timeline_content",1936,"The circus comes to Woolwich"
14811,11.899006843566895,713.9404166666667,,-1.1828219890594482,52.95110821723938,611,183374,0,"newMessage","P544","GA517","MSG8162","timeline_content",1938,"Arsenal is a key target in the Blitz"
14811,11.907695770263672,714.4617166666667,,-1.1828219890594482,52.95110821723938,642,183374,0,"newMessage","P544","GA517","MSG8168","timeline_content",1939,"War is declared"
14811,11.912035942077637,714.7221666666667,,-1.1828219890594482,52.95110821723938,658,183374,0,"newMessage","P544","GA517","MSG8180","timeline_content",1939,"Local Children are evacuated"
14811,11.916282653808594,714.9769333333334,,-1.1828219890594482,52.95110821723938,673,183374,0,"newMessage","P544","GA517","MSG8188","timeline_content",1940,"Road Signs are removed"
14811,11.92236042022705,715.3415833333333,,-1.1828219890594482,52.95110821723938,695,183374,0,"newMessage","P544","GA517","MSG8206","timeline_content",1940,"Children are evacuated"
14811,11.924859046936035,715.4915333333333,,-1.1828219890594482,52.95110821723938,704,183374,0,"newMessage","P544","GA517","MSG8208","timeline_content",1941,"The Blitz causes families to hide"
14811,11.929065704345703,715.7439166666667,,-1.1828219890594482,52.95110821723938,719,183374,0,"newMessage","P544","GA517","MSG8216","timeline_content",1941,"Most of the men in the community are called up"
14811,11.933475494384766,716.0085333333334,,-1.1828219890594482,52.95110821723938,735,183374,0,"newMessage","P544","GA517","MSG8228","timeline_content",1942,"Life at war"
14811,11.937679290771484,716.2607166666667,,-1.1828219890594482,52.95110821723938,750,183374,0,"newMessage","P544","GA517","MSG8232","timeline_content",1942,"Life at war in Woolwich"
14811,11.943475723266602,716.60855,,-1.1828219890594482,52.95110821723938,771,183374,0,"newMessage","P544","GA517","MSG8236","timeline_content",1943,"Young boys play as the war continues"
14811,11.946346282958984,716.7808,,-1.1828219890594482,52.95110821723938,781,183374,0,"newMessage","P544","GA517","MSG8250","timeline_content",1944,"V1 flying bomb raids until 1944"
14811,11.954869270324707,717.2921,,-1.1828219890594482,52.95110821723938,812,183374,0,"newMessage","P544","GA517","MSG8264","timeline_content",1945,"VE Day"
14811,11.959450721740723,717.5670666666666,,-1.1828219890594482,52.95110821723938,828,183374,0,"newMessage","P544","GA517","MSG8266","timeline_content",1945,"The cinema"
14811,11.967611312866211,718.05665,,-1.1828219890594482,52.95110821723938,858,183374,0,"newMessage","P544","GA517","MSG8274","timeline_content",1946,"Unexploded bombs dug up"
14811,11.972155570983887,718.3293333333334,,-1.1828219890594482,52.95110821723938,874,183374,0,"newMessage","P544","GA517","MSG8284","timeline_content",1947,"Deep snow"
14811,11.976208686828613,718.5725,,-1.1828219890594482,52.95110821723938,889,183374,0,"newMessage","P544","GA517","MSG8288","timeline_content",1947,"Deep snow"
14811,11.98090934753418,718.8545166666667,,-1.1828219890594482,52.95110821723938,906,183374,0,"newMessage","P544","GA517","MSG8296","timeline_content",1948,"Holiday Outings"
14811,11.98513126373291,719.1079,,-1.1828219890594482,52.95110821723938,921,183374,0,"newMessage","P544","GA517","MSG8304","timeline_content",1948,"Britain's Christmas Stocking"
14811,11.99158000946045,719.4947833333333,,-1.1828219890594482,52.95110821723938,944,183374,0,"newMessage","P544","GA517","MSG8308","timeline_content",1949,"War Memorial Funding a clubhouse"
14811,11.996237754821777,719.7742833333333,,-1.1828219890594482,52.95110821723938,961,183374,0,"newMessage","P544","GA517","MSG8328","timeline_content",1949,"Couple's cooking classes for married and engaged couples!"
14811,12.001555442810059,720.0933333333334,,-1.1828219890594482,52.95110821723938,980,183374,0,"newMessage","P544","GA517","MSG8376","timeline_content",1950,"The Korean War Begins"
14811,12.018890380859375,721.1334,,-1.1828219890594482,52.95110821723938,1042,183374,0,"newMessage","P544","GA517","MSG8422","timeline_content",1950,"Sweets come off ration"
14811,12.021184921264648,721.2710833333333,,-1.1828219890594482,52.95110821723938,1051,183374,0,"newMessage","P544","GA517","MSG8440","timeline_content",1953,"The Queen's Coronation"
14811,12.025103569030762,721.5062166666667,,-1.1828219890594482,52.95110821723938,1065,183374,0,"newMessage","P544","GA517","MSG8452","timeline_content",1953,"The Queen's Coronation"
14811,12.029801368713379,721.78805,,-1.1828219890594482,52.95110821723938,1082,183374,0,"newMessage","P544","GA517","MSG8458","timeline_content",1954,"Pea Soupers"
14811,12.111491203308105,726.6894333333333,,-1.1828219890594482,52.95110821723938,1376,183374,0,"newMessage","P544","GA517","MSG8460","timeline_content",1963,"The Ferries are replaced by diesel boats"
14811,12.139020919799805,728.34125,,-1.1828219890594482,52.95110821723938,1475,183374,0,"newMessage","P544","GA517","MSG8466","timeline_content",1967,"The Biafran War"
14811,12.177836418151855,730.6701833333333,,-1.1828219890594482,52.95110821723938,1615,183374,0,"newMessage","P544","GA517","MSG8480","timeline_content",1968,"Gypsy Moth IV Yacht leaves Woolwich"
