day,hour,gametime,zone,lon,lat,age,r,dist,event,playerId,gameId,messageId,type,year,title,description,preMins,postMins,view,viewMins,action,actionMins
14814,10.65911865234375,0.54715,Plumstead,0.06809592247009277,51.489577889442444,0,11,0,message,P570,GA522,MSG42333,timeline_content_global,1900,"Welcome to Woolwich","You have arrived in the town of Woolwich, on the outskirts of London, England.  It has been a long journey and you are far from home.  You need to find a place to stay and settle  in this new place.",NA,0.20061666666666667,N,NA,NA,NA
14814,10.66246223449707,0.7477666666666667,Plumstead,0.06809592247009277,51.489577889442444,9,11,0,message,P570,GA522,MSG42337,timeline_content_global,1901,"Max arrives in Woolwich","Max and his family finally arrive  in Woolwich after the long journey West. They move into a flat on Thomas Street, above his brother Lipman?s grocers shop.  They live with their parents David and Annie and their married nephew, a journeyman tailor waiting to earn enough money for his wife to move to England. The wealth and participation in your community increases by 2 points.",0.20061666666666667,3.097566666666667,N,NA,placeMember.start,1.2294166666666666
14814,10.714088439941406,3.8453333333333335,Plumstead,0.068015456199646,51.489567160606384,0,7,0,message,P570,GA522,MSG42358,timeline_content_global,1905,"The Artillery Theatre is finally rebuilt","The artillery theatre has finally been rebuilt, it is now very popular for across all your communities.  Some of your community get jobs at the Theatre for your community who are not already employed at the Royal Artillery or the Arsenal. Their wealth, knowledge and participation increase by 2 points.",3.097566666666667,0.08403333333333333,N,NA,NA,NA
14814,10.71548843383789,3.9293666666666667,Plumstead,0.06801009178161621,51.489572525024414,0,8,0,message,P570,GA522,MSG42373,timeline_content_global,1907,"Women in your community join the London Suffragette Pageant","Many of your community across Woolwich join the 66,000 women making a procession through London. Some of your community joins the campaign. Identifiable by their purple, white and green colour scheme, the suffragettes are becoming a familiar sight in London, fighting for Votes For Women! Their health, knowledge and participation increase by 2 points.",0.08403333333333333,3.9671666666666665,Y,2.3339833333333333,CreateMemberButton,0.19938333333333333
14814,10.781608581542969,7.896533333333333,The Barracks,0.06623983383178711,51.48921847343445,0,124,0,message,P570,GA522,MSG42391,timeline_content_global,1910,"Haleys Comet causes panic across all communities!","The Great Daylight Comet is sighted in the skies over London. The government issues a warning  Close your windows and keep indoors for the Earth will soon pass through the Tail of the terrible Comet and its poisonous gases will fill the heavens! People are scared. Health and knowledge across some of your community is reduced by 1 point.",3.9671666666666665,0.22206666666666666,N,NA,placeMember.start,0.14025
14814,10.785309791564941,8.1186,The Barracks,0.06630420684814453,51.48921847343445,0,120,0,message,P570,GA522,MSG42431,timeline_content_global,1916,"Hard Times for Maxs family","Solomon goes to war, Lipman closes the Boot Makers on Wellington Street, the family gather together to support Solomon's family. Your communities lose 2 wealth points.",0.22206666666666666,0.44385,N,NA,CreateMemberButton,0.11336666666666667
14814,10.792707443237305,8.56245,The Barracks,0.06640613079071045,51.489036083221436,0,120,0,message,P570,GA522,MSG42437,timeline_content_global,1916,"A German Zepplin is hit over the Thames","Many of your community witness a tragic hit over the Thames.  They watch with horrible fascination as a German Zepplin is hit and catches on fire, all the crew die. Many are injured as the plane falls to the ground.  Communities in the area are increasingly worried about their safety, living so close to the Arsenal and military bases. They lose 1 health point.",0.44385,0.18303333333333333,N,NA,NA,NA
14814,10.795758247375488,8.745483333333333,The Barracks,0.06648659706115723,51.48900389671326,0,117,0,message,P570,GA522,MSG42447,timeline_content_global,1917,"Casualties caused by night raids","In Woolwich Common many casualties occur, killing and injuring local people during night raids on the Arsenal and Royal Military Academy. Communities in the area should consider moving away from the military targets. They lose 1 health point.",0.18303333333333333,3.5124333333333335,Y,0.3053666666666667,CommunitiesButton,0.5859833333333333
14814,10.85429859161377,12.257916666666667,The Barracks,0.06741464138031006,51.48945450782776,0,39,0,message,P570,GA522,MSG42514,timeline_content_global,1923,"Midsummer Night's Dream performed at the Nursery School","The munitions worker's nursery is performing Midsummer's Night Dream, many of your community go along to watch their children perform, it is a celebration of community and people are amazed at how good the performance is.  All your community gains 1 health, knowledge and participation point.",3.5124333333333335,5.118966666666667,Y,2.3668,placeMember.start,0.28003333333333336
14814,10.939614295959473,17.376883333333332,The Town Centre,0.06652951240539551,51.49044156074524,0,145,0,message,P570,GA522,MSG42563,timeline_content_global,1931,"The ferry now carries 20,000 passengers a day","Every day 20,000 passengers travel on the Woolwich ferry across the Thames to jobs, and people also come in to Woolwich to visit the Market and local shops.  Despite the depression Woolwich remains a bustling place to live.  Your communities gain 2 health, wealth and participation points.",5.118966666666667,0.16363333333333333,N,NA,NA,NA
